customer_id,account_age_days,successful_payments,failed_payments,average_transaction,lifetime_value,engagement_score
CUST_01290,1157,11,5,10945.4,144794.1,0.64
CUST_01291,142,7,1,1111.56,250085.75,0.64
CUST_01292,1048,25,4,1314.73,174296.95,0.34
CUST_01293,856,30,0,6920.77,405921.5,0.15
CUST_01294,344,27,2,23680.98,363425.45,0.3
CUST_01295,867,11,5,24232.93,357265.02,0.93
CUST_01296,901,37,0,13345.99,64309.54,0.63
CUST_01297,528,18,4,10323.56,485248.84,0.2
CUST_01298,973,18,3,20967.22,82674.16,0.35
CUST_01299,907,10,6,6183.77,194948.7,0.5
CUST_01300,566,24,6,3887.06,262633.15,0.97
CUST_01301,996,7,0,12018.99,5974.65,0.18
CUST_01302,1273,4,3,22903.93,427403.2,0.71
CUST_01303,1133,39,7,21890.5,16198.45,0.18
CUST_01304,938,29,7,18756.73,105499.42,0.58
CUST_01305,225,34,6,5531.41,396477.34,0.27
CUST_01306,1458,13,4,912.99,417786.79,0.43
CUST_01307,991,13,4,6045.32,58637.43,0.39
CUST_01308,644,26,6,21738.78,250341.93,0.16
CUST_01309,353,2,2,4955.95,402678.45,0.97
CUST_01310,484,28,5,24487.8,348484.85,0.7
CUST_01311,1063,6,1,11219.04,167718.22,0.57
CUST_01312,1105,20,0,6690.02,13922.14,0.36
CUST_01313,634,17,6,7295.51,440823.76,0.63
CUST_01314,1059,25,1,17516.22,280497.88,0.45
CUST_01315,497,25,1,11473.12,85541.78,0.67
CUST_01316,661,16,5,6985.89,185875.23,0.61
CUST_01317,382,25,2,22841.2,437023.55,0.55
CUST_01318,142,22,5,11926.31,25525.05,0.27
CUST_01319,1437,27,0,4677.21,347864.79,0.65
CUST_01320,732,30,2,3202.3,126747.11,0.93
CUST_01321,206,17,7,13902.06,472287.38,0.29
CUST_01322,1383,34,1,3487.91,268892.71,0.94
CUST_01323,1239,23,2,15254.48,29490.29,0.71
CUST_01324,1178,22,0,10740.75,101237.71,0.38
CUST_01325,995,38,4,12281.3,270872.7,0.84
CUST_01326,745,36,1,2056.43,173482.81,0.77
CUST_01327,1345,7,2,3718.42,333216.85,0.57
CUST_01328,157,24,0,15359.32,128680.4,0.47
CUST_01329,300,2,5,19915.12,247803.93,0.91
CUST_01330,657,11,6,18192.34,95588.2,0.9
CUST_01331,623,7,6,8219.31,89987.42,0.32
CUST_01332,868,34,2,8218.02,68354.26,0.37
CUST_01333,798,34,7,20266.44,194641.18,0.82
CUST_01334,1377,21,7,8500.42,372476.64,0.24
CUST_01335,894,30,5,16265.22,436782.13,0.14
CUST_01336,1261,31,6,15954.45,127347.38,0.6
CUST_01337,350,16,5,6059.73,432337.09,0.38
CUST_01338,1348,37,0,7645.62,341180.7,0.29
CUST_01339,939,10,2,10556.96,142490.46,0.36
CUST_01340,1424,32,1,9164.06,305411.63,0.44
CUST_01341,405,17,5,18711.32,190099.0,0.37
CUST_01342,614,34,5,6898.98,123025.68,0.3
CUST_01343,134,4,0,11135.09,109918.33,0.22
CUST_01344,675,39,0,2506.7,219452.96,0.31
CUST_01345,926,5,7,22204.97,444538.69,0.77
CUST_01346,759,17,7,19728.61,9626.73,0.59
CUST_01347,268,2,5,11652.93,112577.67,0.94
CUST_01348,66,24,7,14210.16,471943.29,0.1
CUST_01349,1229,24,1,4525.82,57508.48,0.61
CUST_01350,423,39,4,24865.74,339906.68,0.17
CUST_01351,470,15,2,18205.8,57977.71,0.57
CUST_01352,597,23,6,335.28,225342.09,0.85
CUST_01353,1062,34,6,7385.11,140947.08,0.24
CUST_01354,1340,6,4,24321.31,272470.95,0.6
CUST_01355,786,36,3,22068.05,164799.29,0.2
CUST_01356,475,28,3,1531.66,302098.7,0.83
CUST_01357,1154,38,1,11499.38,494650.69,0.15
CUST_01358,306,18,0,12727.4,158651.98,0.76
CUST_01359,134,10,6,23548.0,431078.29,0.61
CUST_01360,1319,39,4,7796.55,199840.9,0.39
CUST_01361,569,16,6,24051.8,157109.47,0.19
CUST_01362,1021,34,4,11769.45,217192.22,0.82
CUST_01363,549,9,1,8542.49,158917.92,0.8
CUST_01364,1073,30,6,20246.15,254833.29,0.15
CUST_01365,919,36,5,21529.72,355182.74,0.53
CUST_01366,72,10,1,19324.65,374102.56,0.31
CUST_01367,1159,30,1,3373.52,481135.74,0.36
CUST_01368,82,13,6,8282.9,467644.13,0.43
CUST_01369,1219,19,6,15592.3,80538.05,0.97
CUST_01370,207,21,1,3292.54,43618.83,0.92
CUST_01371,788,31,1,11386.63,299906.51,0.16
CUST_01372,1412,26,6,22737.73,390864.03,0.12
CUST_01373,1467,29,2,24804.25,314944.27,0.43
CUST_01374,560,22,0,20419.76,117727.49,0.28
CUST_01375,173,13,0,4061.57,132723.78,0.48
CUST_01376,445,31,4,8703.51,428106.67,0.49
CUST_01377,1149,2,5,12295.08,352383.6,0.13
CUST_01378,359,1,0,8245.65,233278.0,0.95
CUST_01379,425,11,5,9148.01,75550.29,0.56
CUST_01380,1327,3,4,20922.02,378187.3,0.54
CUST_01381,1157,31,1,390.31,160709.72,0.48
CUST_01382,1189,19,7,16191.23,131992.63,0.15
CUST_01383,942,17,3,20088.75,189212.22,0.91
CUST_01384,1192,12,4,23197.0,324579.0,0.44
CUST_01385,713,8,3,15499.09,206561.33,0.94
CUST_01386,465,27,4,14277.45,308160.76,0.14
CUST_01387,1129,9,3,7260.25,361269.59,0.88
CUST_01388,855,13,6,3480.23,473864.21,0.53
CUST_01389,607,28,4,12599.33,155706.98,0.83
CUST_01390,922,33,5,416.4,37122.31,0.36
CUST_01391,1499,24,5,5948.17,441365.06,0.12
CUST_01392,1277,2,0,22736.62,47460.47,0.52
CUST_01393,1387,20,7,13656.91,338973.04,0.73
CUST_01394,984,33,5,23347.02,435465.06,0.48
CUST_01395,635,23,5,9245.89,330574.39,0.52
CUST_01396,278,38,5,13801.39,218587.44,0.77
CUST_01397,1141,25,3,1258.68,97870.26,0.58
CUST_01398,587,8,0,8344.84,236815.35,0.89
CUST_01399,301,25,7,9413.99,427454.89,0.82
CUST_01400,1184,1,5,2359.46,464325.37,0.62
CUST_01401,39,18,2,8836.82,311132.15,0.13
CUST_01402,162,27,2,19239.18,175970.7,0.44
CUST_01403,898,35,6,2801.52,338270.42,0.32
CUST_01404,70,9,1,7207.94,96569.14,0.55
CUST_01405,38,21,7,22592.79,37579.6,0.9
CUST_01406,1455,17,5,24001.93,396538.58,0.64
CUST_01407,1353,15,2,24612.75,192357.08,0.24
CUST_01408,177,10,3,16012.5,227653.0,0.88
CUST_01409,258,18,5,21615.21,133744.67,0.63
CUST_01410,155,11,7,23339.45,40085.2,0.72
CUST_01411,1067,32,0,5368.12,244054.19,0.89
CUST_01412,176,5,0,12249.78,245734.1,0.21
CUST_01413,43,33,1,14031.03,202584.17,0.51
CUST_01414,972,15,1,17024.22,389479.42,0.22
CUST_01415,101,15,2,12589.88,78266.5,0.26
CUST_01416,609,8,3,24332.15,111503.99,0.83
CUST_01417,604,4,7,16043.89,278797.92,0.76
CUST_01418,748,23,7,11663.58,149541.7,0.13
CUST_01419,216,24,2,7290.12,19950.01,1.0
CUST_01420,1081,9,3,11472.16,22541.98,0.38
CUST_01421,1018,37,5,1378.42,119079.93,0.9
CUST_01422,1003,12,4,23987.9,307087.52,0.34
CUST_01423,1111,31,6,16703.29,264495.68,0.97
CUST_01424,578,28,5,22981.64,204612.19,0.27
CUST_01425,361,37,7,20168.05,33849.09,0.72
CUST_01426,476,28,6,19390.15,246442.04,0.81
CUST_01427,702,26,5,2040.38,139793.68,0.39
CUST_01428,783,18,6,11683.46,335980.91,0.25
CUST_01429,1287,32,5,22968.64,99526.96,0.99
CUST_01430,727,9,4,23660.68,67154.46,0.8
CUST_01431,1216,34,7,15764.62,445709.2,0.56
CUST_01432,829,21,0,19318.35,52875.73,0.97
CUST_01433,620,34,7,20622.18,259643.64,0.52
CUST_01434,497,9,4,18328.26,206055.52,0.67
CUST_01435,1362,9,7,21535.77,229668.4,0.34
CUST_01436,42,24,4,20500.91,173786.75,0.83
CUST_01437,567,19,7,24058.64,326648.41,0.51
CUST_01438,954,36,1,6070.53,205370.9,0.8
CUST_01439,359,29,3,12106.59,236211.88,0.26
CUST_01440,739,25,0,15245.26,280385.38,0.54
CUST_01441,1293,1,4,20374.5,271338.4,0.22
CUST_01442,579,15,7,23698.48,185139.85,0.22
CUST_01443,1387,10,5,22902.56,147380.96,0.54
CUST_01444,240,31,6,9764.16,397536.78,0.51
CUST_01445,1162,23,7,12875.1,74579.5,0.65
CUST_01446,854,11,4,2798.75,6654.96,0.59
CUST_01447,1066,15,5,3549.66,151836.07,0.91
CUST_01448,102,24,4,13795.84,285168.78,0.41
CUST_01449,153,16,0,7331.79,443916.56,0.43
CUST_01450,811,3,5,16648.97,217590.39,0.84
CUST_01451,655,7,3,17476.64,412903.7,0.15
CUST_01452,236,39,6,4323.7,406394.42,0.87
CUST_01453,335,1,2,23256.37,314582.99,0.46
CUST_01454,652,17,3,24580.59,462563.5,0.81
CUST_01455,414,11,5,16847.85,1200.37,0.83
CUST_01456,888,22,4,9840.04,242944.51,0.42
CUST_01457,833,5,1,3345.11,74578.85,0.13
CUST_01458,878,10,1,7745.97,48183.62,0.78
CUST_01459,54,33,5,1623.34,71109.01,0.66
CUST_01460,1486,30,0,23213.56,474964.77,0.6
CUST_01461,931,12,4,2921.41,246897.89,0.24
CUST_01462,345,3,0,8921.59,483146.64,0.82
CUST_01463,1419,17,3,7085.21,443988.01,0.14
CUST_01464,672,20,1,17933.35,240529.24,0.46
CUST_01465,1223,37,5,13306.9,152337.23,0.43
CUST_01466,666,38,7,24323.88,303806.46,0.21
CUST_01467,742,24,7,6376.19,266511.33,0.53
CUST_01468,568,15,5,18647.93,331133.94,0.31
CUST_01469,1468,12,5,5616.52,430950.85,0.95
CUST_01470,1133,21,1,1529.59,134981.54,0.69
CUST_01471,141,31,2,12874.32,415018.15,0.41
CUST_01472,1384,17,4,6914.03,228020.44,0.52
CUST_01473,843,27,4,1342.35,248651.27,0.59
CUST_01474,176,26,0,24627.75,472941.58,0.28
CUST_01475,1481,28,0,13653.09,424950.49,0.53
CUST_01476,490,38,4,13012.34,53744.6,0.72
CUST_01477,667,8,2,15223.1,61359.37,0.17
CUST_01478,1041,3,5,6499.38,342033.81,0.72
CUST_01479,602,22,1,14160.41,344030.99,0.39
CUST_01480,1133,33,5,897.89,174952.63,0.75
CUST_01481,717,31,4,20313.4,268752.52,0.35
CUST_01482,152,16,2,754.01,345129.62,0.37
CUST_01483,52,17,6,11885.29,252707.95,0.63
CUST_01484,855,36,2,8518.53,36518.94,0.18
CUST_01485,586,4,6,6577.44,412742.3,0.54
CUST_01486,1120,18,2,4790.67,43869.28,0.74
CUST_01487,1121,15,4,9942.3,208471.63,0.52
CUST_01488,814,4,6,18435.43,28499.71,0.9
CUST_01489,158,23,1,11664.53,97530.17,0.29
CUST_01490,1120,1,2,5504.45,114539.4,0.35
CUST_01491,417,29,1,11432.44,377051.46,0.96
CUST_01492,882,3,6,19086.98,84937.34,0.85
CUST_01493,1335,31,4,11097.56,134668.92,0.64
CUST_01494,480,29,6,10296.24,113378.34,0.33
CUST_01495,920,22,5,9396.9,187348.85,0.45
CUST_01496,1360,12,6,15469.97,167737.37,0.84
CUST_01497,109,6,6,795.14,291701.89,0.73
CUST_01498,103,10,7,13741.32,4996.06,0.19
CUST_01499,1465,34,0,2302.17,358510.04,0.32
CUST_01500,277,34,0,24047.01,300039.48,0.83
CUST_01501,499,24,6,17426.53,85959.32,0.34
CUST_01502,338,32,7,2092.6,425308.54,0.29
CUST_01503,161,8,6,20872.47,63419.37,0.22
CUST_01504,926,34,1,10550.44,164144.11,0.65
CUST_01505,557,33,7,24888.45,12261.72,0.2
CUST_01506,1115,23,1,8641.66,275084.98,0.77
CUST_01507,1168,9,2,18112.63,329236.6,0.96
CUST_01508,416,14,4,18167.85,137746.75,0.86
CUST_01509,668,2,6,9788.77,418131.81,0.23
CUST_01510,114,33,7,19789.3,176136.84,0.46
CUST_01511,502,9,0,21909.96,386119.69,0.48
CUST_01512,558,29,5,19554.43,127040.42,0.85
CUST_01513,336,3,6,14445.27,250789.86,0.87
CUST_01514,450,17,6,11405.09,95127.49,0.56
CUST_01515,1015,22,7,20591.93,15256.89,0.67
CUST_01516,1084,7,0,12657.54,447155.67,0.93
CUST_01517,195,32,0,18408.88,47935.85,0.96
CUST_01518,1063,14,0,7661.57,206636.19,0.3
CUST_01519,456,28,4,22941.08,353042.83,0.7
CUST_01520,1318,21,5,16997.01,353124.01,0.54
CUST_01521,1176,8,7,15326.25,222731.75,0.95
CUST_01522,718,5,2,3203.66,495121.04,0.29
CUST_01523,1078,3,1,18450.81,152983.11,0.26
CUST_01524,652,31,0,8208.47,335456.73,0.27
CUST_01525,1091,16,6,20201.95,301653.17,0.37
CUST_01526,579,25,7,11980.12,20500.26,0.67
CUST_01527,374,12,0,4980.41,338518.3,0.18
CUST_01528,62,3,2,12981.83,325652.66,0.9
CUST_01529,1082,18,1,18841.52,244813.86,0.64
CUST_01530,96,34,5,20995.47,441508.07,0.93
CUST_01531,1191,23,2,11415.6,167012.4,0.49
CUST_01532,627,37,4,17321.84,257770.99,0.28
CUST_01533,287,9,3,19541.43,11006.3,0.9
CUST_01534,1112,13,7,20256.07,95736.48,0.2
CUST_01535,70,31,4,16164.27,20142.42,0.66
CUST_01536,1134,5,4,8119.97,335939.56,0.13
CUST_01537,295,21,1,21812.9,171824.71,0.79
CUST_01538,239,8,2,13085.46,289360.66,0.77
CUST_01539,1130,29,4,6892.41,464823.35,0.26
CUST_01540,1068,36,2,12215.86,47735.07,0.79
CUST_01541,526,11,2,15634.22,359776.39,0.61
CUST_01542,1020,28,0,6639.54,296899.39,0.94
CUST_01543,1217,26,7,6836.84,355921.65,0.19
CUST_01544,811,14,2,17462.24,398097.58,0.41
CUST_01545,636,4,5,21067.39,17679.84,0.43
CUST_01546,194,10,7,3871.12,347933.94,0.23
CUST_01547,1359,13,2,10362.34,89527.33,0.2
CUST_01548,581,29,1,1653.24,211355.57,0.74
CUST_01549,1190,8,5,20310.46,44699.71,0.67
CUST_01550,432,21,1,16732.24,40270.59,0.64
CUST_01551,1015,37,7,20204.69,494878.56,0.44
CUST_01552,913,2,0,18618.45,152017.53,0.7
CUST_01553,1217,12,0,3466.25,213252.89,0.32
CUST_01554,474,22,0,15185.95,280178.15,0.11
CUST_01555,840,8,4,17919.05,330052.2,0.66
CUST_01556,528,32,5,2842.77,359792.39,0.55
CUST_01557,862,29,5,7674.13,461947.82,0.31
CUST_01558,1154,10,2,20141.62,448751.95,0.57
CUST_01559,257,2,5,22016.35,7492.1,0.95
CUST_01560,331,23,2,23128.2,13171.11,0.62
CUST_01561,473,19,4,23879.61,302187.04,0.94
CUST_01562,99,35,3,21438.83,340777.69,0.27
CUST_01563,53,33,7,11510.55,335599.71,0.39
CUST_01564,1401,5,4,21407.85,129219.2,0.12
CUST_01565,1455,39,0,10958.25,115729.27,0.56
CUST_01566,964,2,0,22676.82,283836.25,0.42
CUST_01567,903,17,1,14051.29,427515.57,0.94
CUST_01568,1174,11,4,9991.84,203202.35,0.21
CUST_01569,531,31,3,21951.04,79984.84,0.51
CUST_01570,349,37,5,9761.81,434680.44,0.61
CUST_01571,927,13,2,17101.87,421386.04,0.31
CUST_01572,420,16,1,22845.85,60062.75,0.68
CUST_01573,1113,7,6,7605.1,248331.31,0.48
CUST_01574,520,13,7,5158.21,28610.86,0.28
CUST_01575,829,6,3,4818.5,215597.62,0.99
CUST_01576,655,9,6,21028.44,16965.24,0.95
CUST_01577,1004,3,0,13726.81,327235.18,0.45
CUST_01578,273,4,0,10574.94,373588.81,0.18
CUST_01579,512,24,3,2885.12,411501.32,0.29
CUST_01580,130,18,6,10183.84,76097.25,0.55
CUST_01581,1226,35,3,12418.16,424535.03,0.74
CUST_01582,1216,9,3,14552.4,111352.66,0.34
CUST_01583,734,13,6,24804.68,66045.49,0.82
CUST_01584,332,23,3,20200.18,334922.64,0.76
CUST_01585,676,15,0,357.98,123155.14,0.71
CUST_01586,264,23,4,16196.33,54930.67,0.49
CUST_01587,945,31,7,8105.32,157740.8,0.67
CUST_01588,652,27,4,2647.49,48381.87,0.76
CUST_01589,1049,23,4,8628.89,131991.79,0.21
CUST_01590,474,13,4,9175.67,238204.17,0.43
CUST_01591,1158,10,5,5475.51,73407.68,0.91
CUST_01592,523,30,3,19807.12,332087.53,0.41
CUST_01593,695,19,6,15194.44,29509.23,0.9
CUST_01594,124,16,1,20839.88,76005.0,0.13
CUST_01595,785,7,3,24553.06,449051.15,0.22
CUST_01596,699,29,5,15222.03,467972.0,0.31
CUST_01597,288,30,2,22674.48,258607.66,0.24
CUST_01598,326,9,4,18373.12,354881.17,0.28
CUST_01599,120,29,2,11346.18,155554.88,0.53
CUST_01600,90,13,6,19867.09,419472.28,0.69
CUST_01601,745,22,4,15332.0,280367.83,0.97
CUST_01602,1488,3,7,11546.62,454310.34,0.19
CUST_01603,250,30,1,24779.1,51874.32,0.46
CUST_01604,543,20,4,17429.69,20815.89,0.86
CUST_01605,769,4,0,5764.57,338859.78,0.8
CUST_01606,572,2,5,7018.46,361748.77,0.29
CUST_01607,445,23,2,20093.4,205841.91,0.31
CUST_01608,881,34,4,5922.52,262693.74,0.83
CUST_01609,1274,18,2,21898.04,425650.88,0.8
CUST_01610,952,24,6,24334.22,489887.43,0.34
CUST_01611,537,26,6,18679.93,403090.64,0.34
CUST_01612,920,1,7,11144.32,57285.66,0.74
CUST_01613,30,12,6,9151.55,92415.92,0.68
CUST_01614,1377,22,3,6650.83,474378.39,0.25
CUST_01615,1158,37,7,543.22,119804.52,0.84
CUST_01616,1407,20,1,3508.5,358002.67,0.16
CUST_01617,727,23,0,15355.35,293012.2,0.43
CUST_01618,558,29,0,19508.71,369661.89,0.9
CUST_01619,126,36,7,10569.63,425338.08,0.31
CUST_01620,237,22,4,5989.47,280942.41,0.22
CUST_01621,800,24,4,2351.06,96334.88,0.5
CUST_01622,1015,1,3,24710.07,195036.9,0.14
CUST_01623,484,4,3,24068.83,214529.43,0.28
CUST_01624,847,26,4,12640.57,153302.05,0.98
CUST_01625,307,17,5,8476.1,370411.23,0.38
CUST_01626,438,19,7,19909.17,494680.98,0.71
CUST_01627,353,39,0,7297.42,1121.22,0.21
CUST_01628,1114,26,0,1098.38,260571.28,0.61
CUST_01629,475,38,4,9528.06,341048.85,0.16
CUST_01630,294,4,4,17366.5,202670.07,0.89
CUST_01631,347,10,5,23788.25,12079.2,0.37
CUST_01632,848,25,2,16903.36,99182.63,0.91
CUST_01633,720,32,7,4776.88,356291.97,0.45
CUST_01634,210,16,2,12158.23,246212.22,0.75
CUST_01635,1275,17,6,9270.77,27082.07,0.72
CUST_01636,472,35,4,15597.9,325782.33,0.28
CUST_01637,921,19,6,22770.25,491212.89,0.28
CUST_01638,278,21,7,344.76,112685.22,0.41
CUST_01639,661,12,0,6252.61,468126.66,0.57
CUST_01640,1369,10,6,3639.02,347903.03,0.21
CUST_01641,915,26,0,8122.1,338974.68,0.36
CUST_01642,509,24,7,5024.84,204295.23,0.94
CUST_01643,770,13,1,19344.65,218180.13,0.95
CUST_01644,295,25,1,20327.45,490512.17,0.93
CUST_01645,1065,29,3,9672.7,253768.45,0.61
CUST_01646,327,12,4,23239.62,402348.05,0.25
CUST_01647,768,35,6,14666.79,487749.81,0.79
CUST_01648,748,6,3,8037.92,263852.88,0.39
CUST_01649,1362,32,7,17657.64,396559.0,0.67
CUST_01650,622,18,2,8403.32,330533.03,0.76
CUST_01651,928,15,4,5638.55,295845.09,0.92
CUST_01652,1465,23,3,24469.1,6324.39,0.66
CUST_01653,1207,33,7,2853.44,91150.69,0.22
CUST_01654,1426,8,7,2414.31,92545.48,0.78
CUST_01655,240,31,3,644.54,328902.3,0.43
CUST_01656,1235,7,3,20442.55,247882.37,0.22
CUST_01657,897,29,0,18632.36,255358.02,0.48
CUST_01658,382,9,4,4728.62,113655.77,0.12
CUST_01659,675,19,6,14818.55,423801.08,0.5
CUST_01660,284,13,3,11344.86,219040.48,0.81
CUST_01661,66,24,4,19351.68,420878.44,0.66
CUST_01662,166,2,1,12988.49,120891.03,0.21
CUST_01663,691,1,3,4712.13,169536.25,0.48
CUST_01664,711,3,6,24652.29,320338.24,0.87
CUST_01665,1305,3,1,7677.2,433603.58,0.77
CUST_01666,411,27,3,8725.03,272226.28,0.74
CUST_01667,1389,19,4,17695.2,279752.55,0.91
CUST_01668,1451,6,4,3429.8,283581.78,0.46
CUST_01669,1013,4,7,12313.39,231847.02,0.81
CUST_01670,276,27,7,606.91,440025.41,0.14
CUST_01671,613,6,3,11856.13,323663.95,0.85
CUST_01672,285,9,1,19135.51,416855.43,0.41
CUST_01673,600,29,5,4215.84,406533.83,0.22
CUST_01674,450,16,5,13072.89,382041.63,0.5
CUST_01675,427,28,0,11386.14,32365.89,0.53
CUST_01676,748,31,5,13591.99,234940.66,0.36
CUST_01677,949,11,2,14514.88,212295.96,0.56
CUST_01678,681,24,2,20792.82,281626.81,0.7
CUST_01679,1130,28,7,14997.64,46007.65,0.65
CUST_01680,1072,6,7,18732.48,88624.47,0.16
CUST_01681,1048,36,5,7103.81,403798.29,0.43
CUST_01682,772,26,5,20862.72,425538.47,0.48
CUST_01683,521,18,6,9685.01,224794.13,0.98
CUST_01684,760,35,6,3597.83,24930.91,0.8
CUST_01685,160,16,0,9643.37,237113.15,0.67
CUST_01686,664,26,6,19647.93,134901.56,0.73
CUST_01687,237,13,7,3519.0,100342.07,0.63
CUST_01688,965,8,0,12580.9,210549.4,0.27
CUST_01689,236,36,7,6970.44,104211.72,0.69
CUST_01690,1097,25,1,17320.99,282971.07,0.87
CUST_01691,621,14,0,7178.09,448339.96,0.67
CUST_01692,469,13,0,3797.8,321773.86,0.44
CUST_01693,1061,33,7,18649.6,343115.93,0.78
CUST_01694,274,14,2,6540.78,218951.81,0.57
CUST_01695,1443,16,2,2660.69,12252.06,0.15
CUST_01696,261,20,4,18115.07,338876.08,0.57
CUST_01697,570,39,6,374.62,124718.29,0.94
CUST_01698,554,15,3,1178.88,69230.97,0.79
CUST_01699,1217,14,1,20314.49,68384.03,0.52
CUST_01700,184,29,5,7402.49,167210.48,0.48
CUST_01701,288,33,6,10784.97,155352.79,0.35
CUST_01702,762,10,5,17364.08,393697.36,0.2
CUST_01703,1178,22,7,23096.37,442153.57,0.51
CUST_01704,1092,7,1,8187.13,126849.0,0.96
CUST_01705,945,18,2,9104.97,82225.27,0.54
CUST_01706,675,21,4,2962.47,244303.22,0.73
CUST_01707,562,27,3,17097.14,317943.34,0.92
CUST_01708,584,35,0,19747.52,271126.36,0.39
CUST_01709,625,14,3,18432.48,331184.96,0.84
CUST_01710,1141,38,5,16581.14,199629.37,0.56
CUST_01711,948,15,5,9886.6,48749.37,0.92
CUST_01712,1067,21,6,24822.92,281943.46,0.42
CUST_01713,122,4,2,16704.57,210274.53,0.97
CUST_01714,1313,7,4,22527.77,224632.28,0.35
CUST_01715,1019,16,0,7385.61,135021.22,0.87
CUST_01716,1352,21,5,8421.4,330004.74,0.36
CUST_01717,623,28,1,19280.0,442622.65,0.3
CUST_01718,1364,17,6,21877.31,381636.73,0.56
CUST_01719,1465,3,2,535.61,202042.13,0.92
CUST_01720,1246,11,4,8889.92,260739.75,0.69
CUST_01721,1468,26,4,18894.38,411811.06,0.89
CUST_01722,428,25,7,2264.14,244531.07,0.24
CUST_01723,670,23,4,14419.42,451535.45,0.46
CUST_01724,439,38,3,2713.37,8484.25,0.24
CUST_01725,1160,1,3,14684.23,493047.67,0.67
CUST_01726,1018,34,7,8832.89,130545.7,0.49
CUST_01727,446,22,4,13700.93,489243.75,0.83
CUST_01728,1447,3,2,12770.41,443666.15,0.42
CUST_01729,1277,24,4,7103.53,133252.42,0.58
CUST_01730,322,34,7,23202.0,294704.46,0.47
CUST_01731,73,21,2,10495.13,114661.39,0.63
CUST_01732,282,34,0,12130.57,448600.05,0.46
CUST_01733,735,10,4,11012.98,206634.71,0.13
CUST_01734,551,8,5,622.99,86678.72,0.69
CUST_01735,55,18,5,3657.54,249327.13,0.29
CUST_01736,1209,7,6,3965.52,200021.86,0.91
CUST_01737,936,13,4,22077.36,197935.38,0.72
CUST_01738,1011,19,3,7942.98,303494.92,0.57
CUST_01739,1183,33,3,598.13,259949.74,0.65
CUST_01740,741,3,6,11937.96,287127.41,0.94
CUST_01741,1053,10,5,19674.88,324425.22,0.77
CUST_01742,733,13,2,12729.51,34830.4,0.75
CUST_01743,89,34,3,18015.32,416632.89,0.77
CUST_01744,1028,19,7,13278.17,346061.27,0.9
CUST_01745,878,25,3,17163.36,350678.58,0.75
CUST_01746,713,30,3,18193.23,202501.69,0.29
CUST_01747,1241,24,1,10789.57,77327.97,0.83
CUST_01748,870,8,7,24557.31,196155.03,0.17
CUST_01749,754,8,4,7402.57,80999.92,0.35
CUST_01750,1168,15,1,1060.15,309113.91,0.78
CUST_01751,790,5,2,2795.4,305244.39,0.28
CUST_01752,313,17,5,23958.53,427454.11,0.31
CUST_01753,1357,25,5,18495.3,57668.71,0.83
CUST_01754,951,31,0,14882.41,35988.9,0.12
CUST_01755,934,21,5,4502.77,128105.53,0.34
CUST_01756,733,22,3,23709.0,64058.7,0.98
CUST_01757,261,9,5,19358.24,176270.67,0.83
CUST_01758,570,26,4,14291.16,236406.4,0.55
CUST_01759,338,35,6,3105.61,171421.51,0.97
CUST_01760,791,32,5,18000.81,219203.54,0.46
CUST_01761,1263,2,3,3425.67,238833.61,0.79
CUST_01762,644,6,3,24802.79,343638.56,0.86
CUST_01763,1087,14,4,3335.91,102332.23,0.46
CUST_01764,1131,27,5,15621.13,147852.59,0.18
CUST_01765,1213,36,6,11652.11,119169.65,0.66
CUST_01766,245,6,7,2087.01,439386.84,0.37
CUST_01767,74,11,7,13495.9,421123.41,0.63
CUST_01768,56,12,7,504.15,390200.27,0.7
CUST_01769,274,13,4,1514.22,287176.29,0.87
CUST_01770,566,30,4,2341.88,63958.63,0.27
CUST_01771,150,18,5,16419.55,31588.1,0.57
CUST_01772,1318,13,6,23030.73,220941.86,1.0
CUST_01773,774,37,2,11519.43,120144.18,0.85
CUST_01774,626,11,5,10624.58,283213.18,0.68
CUST_01775,540,23,1,3609.18,336084.39,0.1
CUST_01776,600,11,1,4099.5,396924.85,0.92
CUST_01777,363,31,4,14752.51,222014.13,0.13
CUST_01778,585,15,7,17335.63,362710.56,0.73
CUST_01779,853,15,3,4862.43,198344.53,0.26
CUST_01780,260,32,3,15084.54,251918.69,0.15
CUST_01781,50,33,6,23600.93,183176.75,0.92
CUST_01782,1487,4,3,15285.97,313765.12,0.67
CUST_01783,582,8,3,3949.33,214633.56,0.28
CUST_01784,775,14,5,782.21,415514.11,0.23
CUST_01785,1294,32,3,18454.08,56131.33,0.88
CUST_01786,1325,37,0,12706.19,361023.1,0.11
CUST_01787,1014,14,5,3349.55,490045.92,0.45
CUST_01788,1279,36,6,2950.34,103818.23,0.23
CUST_01789,549,8,4,9914.88,157371.33,0.52
CUST_01790,1075,35,5,20310.1,133813.03,0.29
CUST_01791,535,5,6,14550.89,137997.75,0.84
CUST_01792,1316,24,1,19404.81,437685.38,0.12
CUST_01793,477,22,4,15347.13,426733.32,0.34
CUST_01794,1254,31,2,16467.78,477092.86,0.8
CUST_01795,179,21,0,1948.73,59106.32,0.64
CUST_01796,561,1,5,4455.3,347228.85,0.68
CUST_01797,1445,13,6,8520.61,377681.39,0.68
CUST_01798,40,16,1,15414.03,187386.31,0.73
CUST_01799,1426,32,1,14816.05,126838.81,0.28
CUST_01800,813,4,6,2685.74,475930.99,0.81
